Episode 1/2500 - Reward: 3.40 | Score: 40 | Avg: 40.0
Episode 5/2500 - Reward: 18.35 | Score: 70 | Avg: 48.0
Episode 6/2500 - Reward: 21.75 | Score: 90 | Avg: 55.0
Episode 7/2500 - Reward: 8.90 | Score: 60 | Avg: 55.7
Episode 8/2500 - Reward: -8.45 | Score: 70 | Avg: 57.5
Episode 9/2500 - Reward: 12.75 | Score: 80 | Avg: 60.0
Episode 11/2500 - Reward: 3.50 | Score: 40 | Avg: 55.5
Episode 12/2500 - Reward: 11.75 | Score: 60 | Avg: 55.8
Episode 16/2500 - Reward: 3.05 | Score: 60 | Avg: 52.5
Episode 18/2500 - Reward: 5.65 | Score: 60 | Avg: 51.7
Episode 21/2500 - Reward: 0.55 | Score: 30 | Avg: 49.0
Episode 22/2500 - Reward: 13.75 | Score: 60 | Avg: 49.5
Episode 28/2500 - Reward: 7.25 | Score: 60 | Avg: 47.9
Episode 30/2500 - Reward: -1.75 | Score: 70 | Avg: 48.7
Episode 31/2500 - Reward: -21.15 | Score: 40 | Avg: 48.4
Episode 32/2500 - Reward: -10.40 | Score: 60 | Avg: 48.8
Episode 34/2500 - Reward: -19.35 | Score: 60 | Avg: 48.5
Episode 36/2500 - Reward: 14.90 | Score: 80 | Avg: 48.9
Episode 37/2500 - Reward: 15.35 | Score: 80 | Avg: 49.7
Episode 41/2500 - Reward: -1.80 | Score: 80 | Avg: 49.0
Episode 44/2500 - Reward: 26.05 | Score: 110 | Avg: 50.0
Episode 46/2500 - Reward: 9.85 | Score: 60 | Avg: 49.8
Episode 51/2500 - Reward: -17.35 | Score: 70 | Avg: 48.8
Episode 52/2500 - Reward: 35.70 | Score: 100 | Avg: 49.8
Episode 53/2500 - Reward: 8.35 | Score: 60 | Avg: 50.0
Episode 54/2500 - Reward: 14.90 | Score: 70 | Avg: 50.4
Episode 55/2500 - Reward: 34.00 | Score: 100 | Avg: 51.3
Episode 56/2500 - Reward: 89.95 | Score: 230 | Avg: 54.5
Episode 57/2500 - Reward: 31.35 | Score: 100 | Avg: 55.3
Episode 59/2500 - Reward: 34.90 | Score: 100 | Avg: 55.6
Episode 61/2500 - Reward: 57.10 | Score: 150 | Avg: 56.7
Episode 62/2500 - Reward: 173.65 | Score: 390 | Avg: 62.1
Episode 63/2500 - Reward: 149.55 | Score: 340 | Avg: 66.5
Episode 64/2500 - Reward: 90.75 | Score: 220 | Avg: 68.9
Episode 65/2500 - Reward: 33.80 | Score: 100 | Avg: 69.4
Episode 66/2500 - Reward: 33.55 | Score: 100 | Avg: 69.8
Episode 67/2500 - Reward: 42.90 | Score: 120 | Avg: 70.6
Episode 68/2500 - Reward: 43.65 | Score: 120 | Avg: 71.3
Episode 69/2500 - Reward: 46.70 | Score: 120 | Avg: 72.0
Episode 70/2500 - Reward: 13.40 | Score: 60 | Avg: 71.9
Episode 71/2500 - Reward: 48.60 | Score: 170 | Avg: 73.2
Episode 72/2500 - Reward: 62.15 | Score: 150 | Avg: 74.3
Episode 73/2500 - Reward: 67.15 | Score: 160 | Avg: 75.5
Episode 74/2500 - Reward: 70.80 | Score: 180 | Avg: 76.9
Episode 75/2500 - Reward: 82.45 | Score: 200 | Avg: 78.5
Episode 77/2500 - Reward: 176.75 | Score: 390 | Avg: 82.2
Episode 78/2500 - Reward: 22.35 | Score: 70 | Avg: 82.1
Episode 79/2500 - Reward: 161.05 | Score: 360 | Avg: 85.6
Episode 80/2500 - Reward: 89.40 | Score: 220 | Avg: 87.2
Episode 81/2500 - Reward: 96.25 | Score: 230 | Avg: 89.0
Episode 82/2500 - Reward: 146.80 | Score: 320 | Avg: 91.8
Episode 83/2500 - Reward: 156.20 | Score: 340 | Avg: 94.8
Episode 84/2500 - Reward: 286.50 | Score: 490 | Avg: 99.5
Episode 85/2500 - Reward: 177.45 | Score: 390 | Avg: 102.9
Episode 86/2500 - Reward: 182.55 | Score: 400 | Avg: 106.4
Episode 87/2500 - Reward: 286.90 | Score: 490 | Avg: 110.8
Episode 88/2500 - Reward: 287.15 | Score: 490 | Avg: 115.1
Episode 89/2500 - Reward: 152.80 | Score: 340 | Avg: 117.6
Episode 90/2500 - Reward: 287.00 | Score: 490 | Avg: 121.8
Episode 91/2500 - Reward: 287.15 | Score: 490 | Avg: 125.8
Episode 92/2500 - Reward: 287.00 | Score: 490 | Avg: 129.8
Episode 93/2500 - Reward: 202.20 | Score: 440 | Avg: 133.1
Episode 94/2500 - Reward: 287.05 | Score: 490 | Avg: 136.9
Episode 95/2500 - Reward: 286.85 | Score: 490 | Avg: 140.6
Episode 96/2500 - Reward: 287.15 | Score: 490 | Avg: 144.3
Episode 97/2500 - Reward: 177.50 | Score: 390 | Avg: 146.8
Episode 98/2500 - Reward: 287.10 | Score: 490 | Avg: 150.3
Episode 99/2500 - Reward: 286.90 | Score: 490 | Avg: 153.7
Episode 100/2500 - Reward: 287.15 | Score: 490 | Avg: 157.1
Episode 101/2500 - Reward: 287.10 | Score: 490 | Avg: 161.6
Episode 102/2500 - Reward: 287.00 | Score: 490 | Avg: 166.1
Episode 103/2500 - Reward: 287.10 | Score: 490 | Avg: 170.5
Episode 104/2500 - Reward: 286.85 | Score: 490 | Avg: 175.0
Episode 105/2500 - Reward: 287.05 | Score: 490 | Avg: 179.2
Episode 106/2500 - Reward: 211.55 | Score: 460 | Avg: 182.9
Episode 107/2500 - Reward: 287.00 | Score: 490 | Avg: 187.2
Episode 108/2500 - Reward: 202.40 | Score: 440 | Avg: 190.9
Episode 109/2500 - Reward: 287.15 | Score: 490 | Avg: 195.0
Episode 110/2500 - Reward: 287.15 | Score: 490 | Avg: 199.6
Episode 111/2500 - Reward: 287.15 | Score: 490 | Avg: 204.1
Episode 112/2500 - Reward: 287.15 | Score: 490 | Avg: 208.4
Episode 113/2500 - Reward: 287.15 | Score: 490 | Avg: 212.9
Episode 114/2500 - Reward: 287.15 | Score: 490 | Avg: 217.5
Episode 115/2500 - Reward: 287.00 | Score: 490 | Avg: 222.0
Episode 116/2500 - Reward: 197.40 | Score: 430 | Avg: 225.7
Episode 117/2500 - Reward: 287.15 | Score: 490 | Avg: 230.3
Episode 118/2500 - Reward: 287.15 | Score: 490 | Avg: 234.6
Episode 119/2500 - Reward: 287.15 | Score: 490 | Avg: 239.1
Episode 120/2500 - Reward: 287.15 | Score: 490 | Avg: 243.7
Episode 121/2500 - Reward: 182.55 | Score: 400 | Avg: 247.4
Episode 122/2500 - Reward: 287.15 | Score: 490 | Avg: 251.7
Episode 123/2500 - Reward: 287.15 | Score: 490 | Avg: 256.3
Episode 124/2500 - Reward: 287.10 | Score: 490 | Avg: 260.9
Episode 125/2500 - Reward: 287.15 | Score: 490 | Avg: 265.3
Episode 126/2500 - Reward: 287.15 | Score: 490 | Avg: 269.9
Episode 127/2500 - Reward: 286.90 | Score: 490 | Avg: 274.3
Episode 128/2500 - Reward: 283.55 | Score: 490 | Avg: 278.6
Episode 129/2500 - Reward: 287.15 | Score: 490 | Avg: 283.0
Episode 130/2500 - Reward: 287.10 | Score: 490 | Avg: 287.2
Episode 131/2500 - Reward: 287.15 | Score: 490 | Avg: 291.7
Episode 132/2500 - Reward: 287.15 | Score: 490 | Avg: 296.0
Episode 133/2500 - Reward: 287.15 | Score: 490 | Avg: 300.6
Episode 134/2500 - Reward: 287.15 | Score: 490 | Avg: 304.9
Episode 135/2500 - Reward: 287.15 | Score: 490 | Avg: 309.5
Episode 136/2500 - Reward: 287.15 | Score: 490 | Avg: 313.6
Episode 137/2500 - Reward: 287.15 | Score: 490 | Avg: 317.7
Episode 138/2500 - Reward: 287.15 | Score: 490 | Avg: 322.3
Episode 139/2500 - Reward: 287.15 | Score: 490 | Avg: 326.9
Episode 140/2500 - Reward: 287.15 | Score: 490 | Avg: 331.5
Episode 141/2500 - Reward: 287.15 | Score: 490 | Avg: 335.6
Episode 142/2500 - Reward: 287.15 | Score: 490 | Avg: 340.0
Episode 143/2500 - Reward: 56.60 | Score: 140 | Avg: 341.1
Episode 144/2500 - Reward: 287.15 | Score: 490 | Avg: 344.9
Episode 145/2500 - Reward: 286.75 | Score: 490 | Avg: 349.5
Episode 146/2500 - Reward: 287.15 | Score: 490 | Avg: 353.8
Episode 147/2500 - Reward: 182.35 | Score: 400 | Avg: 357.5
Episode 148/2500 - Reward: 192.45 | Score: 420 | Avg: 361.4
Episode 150/2500 - Reward: 27.30 | Score: 100 | Avg: 362.0
Episode 151/2500 - Reward: 287.15 | Score: 490 | Avg: 366.2
Episode 152/2500 - Reward: 202.40 | Score: 440 | Avg: 369.6
Episode 153/2500 - Reward: 287.15 | Score: 490 | Avg: 373.9
Episode 154/2500 - Reward: 287.15 | Score: 490 | Avg: 378.1
Episode 155/2500 - Reward: 287.15 | Score: 490 | Avg: 382.0
Episode 156/2500 - Reward: 287.15 | Score: 490 | Avg: 384.6
Episode 157/2500 - Reward: 287.15 | Score: 490 | Avg: 388.5
Episode 158/2500 - Reward: 287.15 | Score: 490 | Avg: 393.1
Episode 159/2500 - Reward: 287.15 | Score: 490 | Avg: 397.0
Episode 160/2500 - Reward: 287.15 | Score: 490 | Avg: 401.6
Episode 161/2500 - Reward: 287.15 | Score: 490 | Avg: 405.0
Episode 162/2500 - Reward: 287.15 | Score: 490 | Avg: 406.0
Episode 163/2500 - Reward: 287.15 | Score: 490 | Avg: 407.5
Episode 164/2500 - Reward: 287.15 | Score: 490 | Avg: 410.2
Episode 165/2500 - Reward: 287.15 | Score: 490 | Avg: 414.1
Episode 166/2500 - Reward: 287.15 | Score: 490 | Avg: 418.0
Episode 167/2500 - Reward: 287.15 | Score: 490 | Avg: 421.7
Episode 168/2500 - Reward: 287.15 | Score: 490 | Avg: 425.4
Episode 169/2500 - Reward: 287.15 | Score: 490 | Avg: 429.1
Episode 170/2500 - Reward: 287.15 | Score: 490 | Avg: 433.4
Episode 171/2500 - Reward: 287.15 | Score: 490 | Avg: 436.6
Episode 172/2500 - Reward: 287.15 | Score: 490 | Avg: 440.0
Episode 173/2500 - Reward: 287.15 | Score: 490 | Avg: 443.3
Episode 174/2500 - Reward: 287.15 | Score: 490 | Avg: 446.4
Episode 175/2500 - Reward: 202.35 | Score: 440 | Avg: 448.8
Episode 176/2500 - Reward: 287.15 | Score: 490 | Avg: 453.2
Episode 177/2500 - Reward: 287.15 | Score: 490 | Avg: 454.2
Episode 178/2500 - Reward: 123.20 | Score: 280 | Avg: 456.3
Episode 179/2500 - Reward: 172.70 | Score: 380 | Avg: 456.5
Episode 180/2500 - Reward: 287.15 | Score: 490 | Avg: 459.2
Episode 181/2500 - Reward: 287.15 | Score: 490 | Avg: 461.8
Episode 182/2500 - Reward: 287.15 | Score: 490 | Avg: 463.5
Episode 183/2500 - Reward: 287.15 | Score: 490 | Avg: 465.0
Episode 184/2500 - Reward: 287.15 | Score: 490 | Avg: 465.0
Episode 185/2500 - Reward: 287.15 | Score: 490 | Avg: 466.0
Episode 186/2500 - Reward: 287.15 | Score: 490 | Avg: 466.9
Episode 187/2500 - Reward: 287.15 | Score: 490 | Avg: 466.9
Episode 188/2500 - Reward: 287.15 | Score: 490 | Avg: 466.9
Episode 189/2500 - Reward: 287.15 | Score: 490 | Avg: 468.4
Episode 190/2500 - Reward: 287.15 | Score: 490 | Avg: 468.4
Episode 191/2500 - Reward: 287.20 | Score: 490 | Avg: 468.4
Episode 192/2500 - Reward: 287.15 | Score: 490 | Avg: 468.4
Episode 193/2500 - Reward: 287.15 | Score: 490 | Avg: 468.9
Episode 194/2500 - Reward: 287.15 | Score: 490 | Avg: 468.9
Episode 195/2500 - Reward: 287.15 | Score: 490 | Avg: 468.9
Episode 196/2500 - Reward: 287.15 | Score: 490 | Avg: 468.9
Episode 197/2500 - Reward: 287.15 | Score: 490 | Avg: 469.9
Episode 198/2500 - Reward: 287.15 | Score: 490 | Avg: 469.9
Episode 199/2500 - Reward: 287.15 | Score: 490 | Avg: 469.9
Episode 200/2500 - Reward: 287.15 | Score: 490 | Avg: 469.9
Episode 201/2500 - Reward: 287.15 | Score: 490 | Avg: 469.9
Episode 202/2500 - Reward: 287.15 | Score: 490 | Avg: 469.9
Episode 203/2500 - Reward: 287.15 | Score: 490 | Avg: 469.9
Episode 204/2500 - Reward: 182.55 | Score: 400 | Avg: 469.0
Episode 205/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 206/2500 - Reward: 287.15 | Score: 490 | Avg: 469.3
Episode 207/2500 - Reward: 177.65 | Score: 390 | Avg: 468.3
Episode 208/2500 - Reward: 287.15 | Score: 490 | Avg: 468.8
Episode 209/2500 - Reward: 287.15 | Score: 490 | Avg: 468.8
Episode 210/2500 - Reward: 287.15 | Score: 490 | Avg: 468.8
Episode 211/2500 - Reward: 287.15 | Score: 490 | Avg: 468.8
Episode 212/2500 - Reward: 287.15 | Score: 490 | Avg: 468.8
Episode 213/2500 - Reward: 287.15 | Score: 490 | Avg: 468.8
Episode 214/2500 - Reward: 177.65 | Score: 390 | Avg: 467.8
Episode 215/2500 - Reward: 287.15 | Score: 490 | Avg: 467.8
Episode 216/2500 - Reward: 287.15 | Score: 490 | Avg: 468.4
Episode 217/2500 - Reward: 287.15 | Score: 490 | Avg: 468.4
Episode 218/2500 - Reward: 287.15 | Score: 490 | Avg: 468.4
Episode 219/2500 - Reward: 287.15 | Score: 490 | Avg: 468.4
Episode 220/2500 - Reward: 287.15 | Score: 490 | Avg: 468.4
Episode 221/2500 - Reward: 287.15 | Score: 490 | Avg: 469.3
Episode 222/2500 - Reward: 287.15 | Score: 490 | Avg: 469.3
Episode 223/2500 - Reward: 287.15 | Score: 490 | Avg: 469.3
Episode 224/2500 - Reward: 287.15 | Score: 490 | Avg: 469.3
Episode 225/2500 - Reward: 287.15 | Score: 490 | Avg: 469.3
Episode 226/2500 - Reward: 212.30 | Score: 460 | Avg: 469.0
Episode 227/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 228/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 229/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 230/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 231/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 232/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 233/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 234/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 235/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 236/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 237/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 238/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 239/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 240/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 241/2500 - Reward: 287.15 | Score: 490 | Avg: 469.0
Episode 242/2500 - Reward: 287.10 | Score: 490 | Avg: 469.0
Episode 243/2500 - Reward: 212.30 | Score: 460 | Avg: 472.2
Episode 244/2500 - Reward: 287.15 | Score: 490 | Avg: 472.2
Episode 245/2500 - Reward: 287.15 | Score: 490 | Avg: 472.2
Episode 246/2500 - Reward: 212.30 | Score: 460 | Avg: 471.9
Episode 247/2500 - Reward: 287.15 | Score: 490 | Avg: 472.8
Episode 248/2500 - Reward: 287.15 | Score: 490 | Avg: 473.5
Episode 249/2500 - Reward: 287.15 | Score: 490 | Avg: 478.1
Episode 250/2500 - Reward: 287.20 | Score: 490 | Avg: 482.0
Episode 251/2500 - Reward: 287.15 | Score: 490 | Avg: 482.0
Episode 252/2500 - Reward: 287.15 | Score: 490 | Avg: 482.5
Episode 253/2500 - Reward: 287.15 | Score: 490 | Avg: 482.5
Episode 254/2500 - Reward: 287.15 | Score: 490 | Avg: 482.5
Episode 255/2500 - Reward: 287.15 | Score: 490 | Avg: 482.5
Episode 256/2500 - Reward: 287.15 | Score: 490 | Avg: 482.5
Episode 257/2500 - Reward: 287.15 | Score: 490 | Avg: 482.5
Episode 258/2500 - Reward: 287.15 | Score: 490 | Avg: 482.5
Episode 259/2500 - Reward: 287.15 | Score: 490 | Avg: 482.5
Episode 260/2500 - Reward: 287.15 | Score: 490 | Avg: 482.5
Episode 261/2500 - Reward: 287.15 | Score: 490 | Avg: 482.5
Episode 262/2500 - Reward: 172.70 | Score: 380 | Avg: 481.4
Episode 263/2500 - Reward: 287.15 | Score: 490 | Avg: 481.4
Episode 264/2500 - Reward: 287.15 | Score: 490 | Avg: 481.4
Episode 265/2500 - Reward: 287.15 | Score: 490 | Avg: 481.4
Episode 266/2500 - Reward: 287.15 | Score: 490 | Avg: 481.4
Episode 267/2500 - Reward: 287.15 | Score: 490 | Avg: 481.4
Episode 268/2500 - Reward: 287.15 | Score: 490 | Avg: 481.4
Episode 269/2500 - Reward: 287.15 | Score: 490 | Avg: 481.4
