Episode 1/2500 - Reward: 57.35 | Score: 180 | Avg: 180.0
Episode 2/2500 - Reward: 18.65 | Score: 60 | Avg: 120.0
Episode 3/2500 - Reward: 23.80 | Score: 80 | Avg: 106.7
Episode 4/2500 - Reward: 35.35 | Score: 140 | Avg: 115.0
Episode 9/2500 - Reward: 18.85 | Score: 80 | Avg: 76.7
Episode 10/2500 - Reward: 23.70 | Score: 120 | Avg: 81.0
Episode 11/2500 - Reward: 4.85 | Score: 40 | Avg: 77.3
Episode 12/2500 - Reward: 11.40 | Score: 70 | Avg: 76.7
Episode 15/2500 - Reward: 19.95 | Score: 80 | Avg: 72.0
Episode 16/2500 - Reward: 38.55 | Score: 110 | Avg: 74.4
Episode 17/2500 - Reward: 42.95 | Score: 130 | Avg: 77.6
Episode 18/2500 - Reward: 18.60 | Score: 70 | Avg: 77.2
Episode 20/2500 - Reward: 40.60 | Score: 120 | Avg: 77.0
Episode 21/2500 - Reward: 17.85 | Score: 60 | Avg: 76.2
Episode 23/2500 - Reward: 16.60 | Score: 60 | Avg: 73.9
Episode 25/2500 - Reward: 28.30 | Score: 100 | Avg: 73.6
Episode 27/2500 - Reward: 27.00 | Score: 80 | Avg: 72.2
Episode 29/2500 - Reward: 40.85 | Score: 110 | Avg: 72.1
Episode 30/2500 - Reward: 265.80 | Score: 490 | Avg: 86.0
Episode 31/2500 - Reward: 31.15 | Score: 100 | Avg: 86.5
Episode 33/2500 - Reward: 33.00 | Score: 100 | Avg: 85.5
Episode 34/2500 - Reward: 32.15 | Score: 100 | Avg: 85.9
Episode 36/2500 - Reward: 39.75 | Score: 110 | Avg: 85.0
Episode 37/2500 - Reward: 21.95 | Score: 80 | Avg: 84.9
Episode 38/2500 - Reward: 46.65 | Score: 120 | Avg: 85.8
Episode 39/2500 - Reward: 29.70 | Score: 100 | Avg: 86.2
Episode 40/2500 - Reward: 15.60 | Score: 60 | Avg: 85.5
Episode 41/2500 - Reward: 23.10 | Score: 70 | Avg: 85.1
Episode 42/2500 - Reward: 14.05 | Score: 120 | Avg: 86.0
Episode 44/2500 - Reward: 252.55 | Score: 490 | Avg: 93.9
Episode 46/2500 - Reward: 17.00 | Score: 70 | Avg: 92.2
Episode 47/2500 - Reward: 31.95 | Score: 110 | Avg: 92.6
Episode 48/2500 - Reward: 27.00 | Score: 90 | Avg: 92.5
Episode 49/2500 - Reward: 85.10 | Score: 230 | Avg: 95.3
Episode 50/2500 - Reward: 55.30 | Score: 150 | Avg: 96.4
Episode 51/2500 - Reward: 4.85 | Score: 40 | Avg: 95.3
Episode 54/2500 - Reward: 35.10 | Score: 100 | Avg: 93.3
Episode 55/2500 - Reward: 31.90 | Score: 110 | Avg: 93.6
Episode 56/2500 - Reward: 14.00 | Score: 60 | Avg: 93.0
Episode 58/2500 - Reward: 24.00 | Score: 70 | Avg: 91.6
Episode 61/2500 - Reward: 3.85 | Score: 30 | Avg: 88.7
Episode 65/2500 - Reward: 95.40 | Score: 230 | Avg: 88.2
Episode 66/2500 - Reward: 13.65 | Score: 60 | Avg: 87.7
Episode 68/2500 - Reward: 53.10 | Score: 140 | Avg: 87.6
Episode 69/2500 - Reward: 13.80 | Score: 60 | Avg: 87.2
Episode 71/2500 - Reward: -0.85 | Score: 30 | Avg: 85.6
Episode 74/2500 - Reward: 14.10 | Score: 60 | Avg: 83.9
Episode 79/2500 - Reward: 23.10 | Score: 70 | Avg: 81.3
Episode 81/2500 - Reward: 74.95 | Score: 190 | Avg: 82.0
Episode 82/2500 - Reward: 66.35 | Score: 180 | Avg: 83.2
Episode 83/2500 - Reward: 48.75 | Score: 140 | Avg: 83.9
Episode 85/2500 - Reward: 22.65 | Score: 80 | Avg: 83.3
Episode 86/2500 - Reward: 19.70 | Score: 70 | Avg: 83.1
Episode 87/2500 - Reward: 76.05 | Score: 190 | Avg: 84.4
Episode 88/2500 - Reward: 22.50 | Score: 80 | Avg: 84.3
Episode 91/2500 - Reward: 4.85 | Score: 40 | Avg: 82.7
Episode 95/2500 - Reward: 190.05 | Score: 430 | Avg: 84.8
Episode 96/2500 - Reward: 75.35 | Score: 200 | Avg: 86.0
Episode 97/2500 - Reward: 20.85 | Score: 80 | Avg: 86.0
Episode 98/2500 - Reward: 33.40 | Score: 100 | Avg: 86.1
Episode 99/2500 - Reward: 18.65 | Score: 70 | Avg: 86.0
Episode 100/2500 - Reward: 13.60 | Score: 60 | Avg: 85.7
Episode 101/2500 - Reward: 18.20 | Score: 60 | Avg: 84.5
Episode 102/2500 - Reward: 34.95 | Score: 110 | Avg: 85.0
Episode 103/2500 - Reward: 75.80 | Score: 190 | Avg: 86.1
Episode 106/2500 - Reward: 27.65 | Score: 110 | Avg: 85.8
Episode 107/2500 - Reward: 15.65 | Score: 70 | Avg: 86.1
Episode 109/2500 - Reward: 51.10 | Score: 150 | Avg: 86.6
Episode 110/2500 - Reward: 18.15 | Score: 70 | Avg: 86.1
Episode 111/2500 - Reward: 82.25 | Score: 210 | Avg: 87.8
