Episode 1/2000, Score: 40, Reward: -0.7999999999999963, Avg: 40.0, Actor loss: -6.5907, Critic loss: 12.8798, Total loss: 6.2892
Episode 2/2000, Score: 30, Reward: -2.3500000000000005, Avg: 35.0, Actor loss: -4.9099, Critic loss: 6.8016, Total loss: 1.8916
Episode 3/2000, Score: 40, Reward: -0.7999999999999998, Avg: 36.666666666666664, Actor loss: -4.3747, Critic loss: 6.7998, Total loss: 2.4251
Episode 4/2000, Score: 70, Reward: 4.75, Avg: 45.0, Actor loss: 1.4331, Critic loss: 5.1267, Total loss: 6.5597
Episode 5/2000, Score: 40, Reward: -0.19999999999999662, Avg: 44.0, Actor loss: -6.8722, Critic loss: 12.0372, Total loss: 5.1650
Episode 6/2000, Score: 40, Reward: -0.7999999999999998, Avg: 43.333333333333336, Actor loss: -3.6421, Critic loss: 4.4678, Total loss: 0.8256
Episode 7/2000, Score: 180, Reward: 16.549999999999983, Avg: 62.857142857142854, Actor loss: -3.0463, Critic loss: 6.8355, Total loss: 3.7892
Episode 8/2000, Score: 40, Reward: 0.15000000000000124, Avg: 60.0, Actor loss: -2.7241, Critic loss: 4.0969, Total loss: 1.3728
Episode 9/2000, Score: 40, Reward: -0.9999999999999991, Avg: 57.77777777777778, Actor loss: -3.8451, Critic loss: 4.7105, Total loss: 0.8653
Episode 10/2000, Score: 80, Reward: 3.0500000000000043, Avg: 60.0, Actor loss: -6.8526, Critic loss: 12.2611, Total loss: 5.4085
Episode 11/2000, Score: 40, Reward: -2.2999999999999923, Avg: 58.18181818181818, Actor loss: -6.6076, Critic loss: 12.4658, Total loss: 5.8582
Episode 12/2000, Score: 80, Reward: 4.449999999999973, Avg: 60.0, Actor loss: -6.5187, Critic loss: 12.2075, Total loss: 5.6887
Episode 13/2000, Score: 70, Reward: 2.9999999999999956, Avg: 60.76923076923077, Actor loss: -6.6856, Critic loss: 11.6546, Total loss: 4.9689
Episode 14/2000, Score: 40, Reward: -0.1999999999999975, Avg: 59.285714285714285, Actor loss: -6.8720, Critic loss: 11.9984, Total loss: 5.1264
Episode 15/2000, Score: 40, Reward: 0.5500000000000007, Avg: 58.0, Actor loss: -3.9382, Critic loss: 6.0169, Total loss: 2.0787
Episode 16/2000, Score: 90, Reward: 4.550000000000006, Avg: 60.0, Actor loss: -3.7556, Critic loss: 5.8191, Total loss: 2.0635
Episode 17/2000, Score: 30, Reward: -1.0999999999999996, Avg: 58.23529411764706, Actor loss: -6.0033, Critic loss: 11.6364, Total loss: 5.6332
Episode 18/2000, Score: 30, Reward: -1.6999999999999993, Avg: 56.666666666666664, Actor loss: -4.9585, Critic loss: 6.1506, Total loss: 1.1920
Episode 19/2000, Score: 120, Reward: 8.300000000000004, Avg: 60.0, Actor loss: 0.4219, Critic loss: 5.0528, Total loss: 5.4747
Episode 20/2000, Score: 70, Reward: 2.0500000000000034, Avg: 60.5, Actor loss: -2.7406, Critic loss: 4.7311, Total loss: 1.9906
Episode 21/2000, Score: 30, Reward: -2.35, Avg: 60.0, Actor loss: -4.4384, Critic loss: 5.8928, Total loss: 1.4544
Episode 22/2000, Score: 60, Reward: 2.150000000000005, Avg: 61.5, Actor loss: -7.3040, Critic loss: 11.8671, Total loss: 4.5631
Episode 23/2000, Score: 110, Reward: 7.600000000000003, Avg: 65.0, Actor loss: -5.1901, Critic loss: 7.6742, Total loss: 2.4840
Episode 24/2000, Score: 70, Reward: 2.950000000000002, Avg: 65.0, Actor loss: -2.3718, Critic loss: 2.7651, Total loss: 0.3932
Episode 25/2000, Score: 60, Reward: 1.4500000000000028, Avg: 66.0, Actor loss: -6.1272, Critic loss: 10.2689, Total loss: 4.1417
Episode 26/2000, Score: 40, Reward: 0.2500000000000018, Avg: 66.0, Actor loss: -6.3808, Critic loss: 11.1802, Total loss: 4.7994
Episode 27/2000, Score: 70, Reward: 5.049999999999999, Avg: 60.5, Actor loss: -2.0087, Critic loss: 5.2022, Total loss: 3.1936
Episode 28/2000, Score: 40, Reward: -0.9499999999999993, Avg: 60.5, Actor loss: -5.1462, Critic loss: 8.1047, Total loss: 2.9585
Episode 29/2000, Score: 70, Reward: 3.1499999999999755, Avg: 62.0, Actor loss: -6.2202, Critic loss: 10.1043, Total loss: 3.8841
Episode 30/2000, Score: 60, Reward: 2.1500000000000057, Avg: 61.0, Actor loss: -5.4094, Critic loss: 8.6227, Total loss: 3.2134
Episode 31/2000, Score: 30, Reward: -2.3499999999999996, Avg: 60.5, Actor loss: -5.6905, Critic loss: 9.1804, Total loss: 3.4899
Episode 32/2000, Score: 110, Reward: 7.099999999999989, Avg: 62.0, Actor loss: -4.5732, Critic loss: 6.4534, Total loss: 1.8802
Episode 33/2000, Score: 90, Reward: 6.89999999999999, Avg: 63.0, Actor loss: -7.6528, Critic loss: 11.4852, Total loss: 3.8324
Episode 34/2000, Score: 40, Reward: -2.549999999999997, Avg: 63.0, Actor loss: -6.0736, Critic loss: 10.9230, Total loss: 4.8494
Episode 35/2000, Score: 80, Reward: 4.350000000000007, Avg: 65.0, Actor loss: -5.8847, Critic loss: 9.5964, Total loss: 3.7117
Episode 36/2000, Score: 40, Reward: -0.9999999999999991, Avg: 62.5, Actor loss: -3.7605, Critic loss: 4.7267, Total loss: 0.9662
Episode 37/2000, Score: 30, Reward: -2.7499999999999982, Avg: 62.5, Actor loss: -6.2182, Critic loss: 11.5475, Total loss: 5.3293
Episode 38/2000, Score: 60, Reward: 2.350000000000005, Avg: 64.0, Actor loss: -6.4330, Critic loss: 10.2151, Total loss: 3.7821
Episode 39/2000, Score: 110, Reward: 10.249999999999993, Avg: 63.5, Actor loss: -4.3160, Critic loss: 6.6655, Total loss: 2.3495
Episode 40/2000, Score: 60, Reward: 2.200000000000002, Avg: 63.0, Actor loss: -6.1026, Critic loss: 10.7860, Total loss: 4.6833
Episode 41/2000, Score: 30, Reward: -2.6500000000000004, Avg: 63.0, Actor loss: -5.1103, Critic loss: 6.9391, Total loss: 1.8288
