[SAVE] New best avg score: 100.00
Episode 1/50000, Score: 100, Reward: 18.99999999999999, Avg: 100.0, Actor loss: -19.4340, Critic loss: 205.8496, Total loss: 83.4908
Episode 2/50000, Score: 50, Reward: -32.29999999999998, Avg: 75.0, Actor loss: -4.8158, Critic loss: 18.4481, Total loss: 4.4083
Episode 3/50000, Score: 70, Reward: -0.8999999999999986, Avg: 73.33333333333333, Actor loss: -15.1712, Critic loss: 120.8986, Total loss: 45.2781
Episode 4/50000, Score: 40, Reward: -4.19999999999999, Avg: 65.0, Actor loss: -12.8315, Critic loss: 94.3479, Total loss: 34.3425
Episode 5/50000, Score: 30, Reward: -30.999999999999986, Avg: 58.0, Actor loss: -16.3304, Critic loss: 136.6609, Total loss: 52.0000
Episode 6/50000, Score: 40, Reward: -4.19999999999999, Avg: 55.0, Actor loss: -13.4601, Critic loss: 91.7423, Total loss: 32.4110
Episode 7/50000, Score: 30, Reward: -2.200000000000001, Avg: 51.42857142857143, Actor loss: -7.0751, Critic loss: 43.7674, Total loss: 14.8086
Episode 8/50000, Score: 50, Reward: 6.599999999999998, Avg: 51.25, Actor loss: 4.2927, Critic loss: 34.3817, Total loss: 21.4835
Episode 9/50000, Score: 30, Reward: -27.79999999999999, Avg: 48.888888888888886, Actor loss: -12.7456, Critic loss: 86.8411, Total loss: 30.6749
Episode 10/50000, Score: 40, Reward: -25.999999999999993, Avg: 48.0, Actor loss: -16.6812, Critic loss: 145.8500, Total loss: 56.2438
Episode 11/50000, Score: 40, Reward: 0.8000000000000007, Avg: 47.27272727272727, Actor loss: -14.1861, Critic loss: 99.1392, Total loss: 35.3835
Episode 12/50000, Score: 30, Reward: -10.100000000000001, Avg: 45.833333333333336, Actor loss: -14.6133, Critic loss: 115.2411, Total loss: 43.0073
Episode 13/50000, Score: 30, Reward: -24.4, Avg: 40.0, Actor loss: -11.9404, Critic loss: 91.4397, Total loss: 33.7794
Episode 14/50000, Score: 50, Reward: -4.499999999999997, Avg: 40.0, Actor loss: -16.1349, Critic loss: 147.9237, Total loss: 57.8269
Episode 15/50000, Score: 30, Reward: -1.4000000000000004, Avg: 36.666666666666664, Actor loss: -3.8243, Critic loss: 23.7003, Total loss: 8.0258
Episode 16/50000, Score: 30, Reward: -12.500000000000004, Avg: 35.833333333333336, Actor loss: -8.2944, Critic loss: 47.0489, Total loss: 15.2301
Episode 17/50000, Score: 30, Reward: -3.6000000000000023, Avg: 35.833333333333336, Actor loss: -6.0874, Critic loss: 26.3940, Total loss: 7.1096
Episode 18/50000, Score: 30, Reward: -1.5999999999999979, Avg: 35.0, Actor loss: -8.8717, Critic loss: 56.7445, Total loss: 19.5005
Episode 19/50000, Score: 30, Reward: 0.5000000000000036, Avg: 35.0, Actor loss: -7.8855, Critic loss: 57.5646, Total loss: 20.8968
Episode 20/50000, Score: 50, Reward: 7.800000000000004, Avg: 35.0, Actor loss: -5.0261, Critic loss: 60.7809, Total loss: 25.3644
Episode 21/50000, Score: 80, Reward: 3.600000000000019, Avg: 39.166666666666664, Actor loss: -16.4632, Critic loss: 149.1654, Total loss: 58.1195
Episode 22/50000, Score: 50, Reward: 9.500000000000007, Avg: 40.0, Actor loss: -0.7276, Critic loss: 107.8570, Total loss: 53.2009
Episode 23/50000, Score: 30, Reward: -1.0, Avg: 39.166666666666664, Actor loss: -5.7808, Critic loss: 30.8805, Total loss: 9.6594
