episode,score,ep_reward,steps,epsilon,alpha,won,avg_score_100
0,30,-3.475,87,0.9995,0.2499,0,30.0
1,40,-1.7,18,0.999,0.2499,0,35.0
2,50,-2.875,43,0.9985,0.2498,0,40.0
3,40,-2.175,11,0.998,0.2497,0,40.0
4,70,-6.55,151,0.9975,0.2496,0,46.0
5,60,-4.7,71,0.997,0.2496,0,48.333
6,30,-2.575,17,0.9965,0.2495,0,45.714
7,30,-2.25,10,0.996,0.2494,0,43.75
8,40,-2.525,29,0.9955,0.2493,0,43.333
9,80,-5.15,100,0.995,0.2493,0,47.0
10,70,-4.6,66,0.9945,0.2492,0,49.091
11,50,-10.65,196,0.994,0.2491,0,49.167
12,60,-4.9,74,0.9935,0.249,0,50.0
13,30,-5.825,86,0.993,0.249,0,48.571
14,40,-3.075,29,0.9925,0.2489,0,48.0
15,50,-5.825,102,0.992,0.2488,0,48.125
16,60,-12.45,242,0.9915,0.2487,0,48.824
17,100,-1.425,62,0.991,0.2487,0,51.667
18,30,-3.275,31,0.9905,0.2486,0,50.526
19,40,-2.925,31,0.99,0.2485,0,50.0
20,60,-4.325,76,0.9896,0.2484,0,50.476
21,60,-7.975,139,0.9891,0.2484,0,50.909
22,30,-4.575,61,0.9886,0.2483,0,50.0
23,60,-4.75,81,0.9881,0.2482,0,50.417
24,60,-5.025,78,0.9876,0.2481,0,50.8
25,50,-8.225,145,0.9871,0.2481,0,50.769
26,50,-6.425,101,0.9866,0.248,0,50.741
27,50,-5.0,74,0.9861,0.2479,0,50.714
28,30,-1.9,5,0.9856,0.2478,0,50.0
29,30,-2.85,25,0.9851,0.2478,0,49.333
30,80,-7.8,167,0.9846,0.2477,0,50.323
31,30,-8.125,141,0.9841,0.2476,0,49.688
32,170,-13.425,435,0.9836,0.2475,0,53.333
33,40,-3.525,41,0.9831,0.2475,0,52.941
34,60,-2.075,32,0.9826,0.2474,0,53.143
35,70,-5.475,90,0.9822,0.2473,0,53.611
36,40,-5.0,73,0.9817,0.2472,0,53.243
37,80,-3.875,81,0.9812,0.2472,0,53.947
38,30,-2.3,14,0.9807,0.2471,0,53.333
39,40,-1.95,6,0.9802,0.247,0,53.0
40,70,-1.875,34,0.9797,0.2469,0,53.415
41,60,-3.025,33,0.9792,0.2469,0,53.571
42,40,-2.625,22,0.9787,0.2468,0,53.256
43,40,-5.175,84,0.9782,0.2467,0,52.955
44,100,-12.75,292,0.9777,0.2466,0,54.0
45,70,-2.325,22,0.9773,0.2466,0,54.348
46,70,-4.275,61,0.9768,0.2465,0,54.681
47,40,-2.175,11,0.9763,0.2464,0,54.375
48,40,-6.0,102,0.9758,0.2464,0,54.082
49,40,-4.125,53,0.9753,0.2463,0,53.8
50,40,-2.225,17,0.9748,0.2462,0,53.529
51,40,-7.575,130,0.9743,0.2461,0,53.269
52,60,-4.875,78,0.9738,0.2461,0,53.396
53,30,-4.925,69,0.9734,0.246,0,52.963
54,50,-7.65,141,0.9729,0.2459,0,52.909
55,30,-4.725,67,0.9724,0.2458,0,52.5
56,150,-5.25,169,0.9719,0.2458,0,54.211
57,70,-7.9,141,0.9714,0.2457,0,54.483
58,150,-7.325,188,0.9709,0.2456,0,56.102
59,60,-2.65,26,0.9704,0.2455,0,56.167
60,40,-5.025,75,0.97,0.2455,0,55.902
61,100,-5.15,120,0.9695,0.2454,0,56.613
62,40,-2.0,7,0.969,0.2453,0,56.349
63,30,-2.4,14,0.9685,0.2452,0,55.938
64,340,2.475,316,0.968,0.2452,0,60.308
65,110,-8.35,150,0.9675,0.2451,0,61.061
66,30,-2.45,14,0.967,0.245,0,60.597
67,90,-2.475,61,0.9666,0.245,0,61.029
68,40,-2.475,17,0.9661,0.2449,0,60.725
69,60,-10.325,212,0.9656,0.2448,0,60.714
70,30,-3.55,38,0.9651,0.2447,0,60.282
71,50,-5.45,101,0.9646,0.2447,0,60.139
72,60,-2.0,11,0.9641,0.2446,0,60.137
73,30,-3.125,30,0.9637,0.2445,0,59.73
74,30,-3.1,28,0.9632,0.2444,0,59.333
75,30,-3.65,39,0.9627,0.2444,0,58.947
76,30,-5.65,94,0.9622,0.2443,0,58.571
77,40,-2.1,16,0.9617,0.2442,0,58.333
78,30,-3.525,39,0.9613,0.2441,0,57.975
79,60,-4.775,84,0.9608,0.2441,0,58.0
80,60,-4.25,67,0.9603,0.244,0,58.025
81,30,-10.2,184,0.9598,0.2439,0,57.683
82,30,-3.025,28,0.9593,0.2439,0,57.349
83,60,-2.2,26,0.9589,0.2438,0,57.381
84,60,-7.775,137,0.9584,0.2437,0,57.412
85,30,-2.525,16,0.9579,0.2436,0,57.093
86,40,-13.05,259,0.9574,0.2436,0,56.897
87,40,-7.425,123,0.9569,0.2435,0,56.705
88,40,-2.05,16,0.9565,0.2434,0,56.517
89,140,-1.2,67,0.956,0.2433,0,57.444
90,30,-4.7,65,0.9555,0.2433,0,57.143
91,170,-4.9,174,0.955,0.2432,0,58.37
92,40,-4.075,53,0.9546,0.2431,0,58.172
93,80,-9.15,187,0.9541,0.243,0,58.404
94,40,-4.0,49,0.9536,0.243,0,58.211
95,50,-4.85,77,0.9531,0.2429,0,58.125
96,40,-2.5,18,0.9526,0.2428,0,57.938
97,40,-2.725,26,0.9522,0.2428,0,57.755
98,100,-8.325,189,0.9517,0.2427,0,58.182
99,50,-2.1,13,0.9512,0.2426,0,58.1
100,30,-2.35,13,0.9507,0.2425,0,58.1
101,70,-7.2,150,0.9503,0.2425,0,58.4
102,50,-3.925,48,0.9498,0.2424,0,58.4
103,40,-7.25,121,0.9493,0.2423,0,58.4
104,80,-6.65,138,0.9488,0.2422,0,58.5
105,110,-2.25,51,0.9484,0.2422,0,59.0
106,100,-4.625,76,0.9479,0.2421,0,59.7
107,80,-3.2,40,0.9474,0.242,0,60.2
108,50,-4.225,57,0.9469,0.242,0,60.3
109,80,-7.225,138,0.9465,0.2419,0,60.3
110,150,-5.525,138,0.946,0.2418,0,61.1
111,120,-6.575,122,0.9455,0.2417,0,61.8
112,40,-2.525,18,0.9451,0.2417,0,61.6
113,40,-4.725,68,0.9446,0.2416,0,61.7
114,70,-1.525,26,0.9441,0.2415,0,62.0
115,150,-12.125,293,0.9436,0.2414,0,63.0
116,30,-3.125,29,0.9432,0.2414,0,62.7
117,60,-1.55,17,0.9427,0.2413,0,62.3
118,90,-8.75,186,0.9422,0.2412,0,62.9
119,30,-5.325,79,0.9418,0.2412,0,62.8
120,30,-2.0,5,0.9413,0.2411,0,62.5
121,70,-2.65,50,0.9408,0.241,0,62.6
122,40,-2.775,23,0.9403,0.2409,0,62.7
123,60,-1.95,28,0.9399,0.2409,0,62.7
124,30,-2.175,9,0.9394,0.2408,0,62.4
125,40,-5.65,99,0.9389,0.2407,0,62.3
126,30,-2.525,18,0.9385,0.2407,0,62.1
127,100,-1.15,33,0.938,0.2406,0,62.6
128,200,-4.975,164,0.9375,0.2405,0,64.3
129,60,-5.775,95,0.9371,0.2404,0,64.6
130,30,-2.6,18,0.9366,0.2404,0,64.1
131,80,-3.35,72,0.9361,0.2403,0,64.6
132,40,-3.55,42,0.9356,0.2402,0,63.3
133,40,-3.275,38,0.9352,0.2401,0,63.3
134,80,-6.2,131,0.9347,0.2401,0,63.5
135,40,-4.325,60,0.9342,0.24,0,63.2
136,30,-2.35,13,0.9338,0.2399,0,63.1
137,60,-4.475,83,0.9333,0.2399,0,62.9
138,40,-2.45,17,0.9328,0.2398,0,63.0
139,70,-2.525,40,0.9324,0.2397,0,63.3
140,50,-4.95,77,0.9319,0.2396,0,63.1
141,110,-8.825,197,0.9314,0.2396,0,63.6
142,180,-5.35,148,0.931,0.2395,0,65.0
143,70,-5.5,88,0.9305,0.2394,0,65.3
144,40,-4.275,57,0.93,0.2394,0,64.7
145,60,-3.85,57,0.9296,0.2393,0,64.6
146,60,-3.925,58,0.9291,0.2392,0,64.5
147,40,-8.725,155,0.9287,0.2391,0,64.5
148,40,-3.3,41,0.9282,0.2391,0,64.5
149,110,-1.325,39,0.9277,0.239,0,65.2
150,60,-2.6,23,0.9273,0.2389,0,65.4
151,110,-9.1,201,0.9268,0.2389,0,66.1
152,40,-3.325,37,0.9263,0.2388,0,65.9
153,30,-3.825,46,0.9259,0.2387,0,65.9
154,150,-0.875,73,0.9254,0.2386,0,66.9
155,100,-6.75,125,0.9249,0.2386,0,67.6
156,70,-5.025,82,0.9245,0.2385,0,66.8
157,160,-6.75,185,0.924,0.2384,0,67.7
158,80,-5.0,79,0.9236,0.2384,0,67.0
159,40,-3.85,49,0.9231,0.2383,0,66.8
160,40,-6.2,97,0.9226,0.2382,0,66.8
161,190,-4.25,172,0.9222,0.2381,0,67.7
162,70,-1.925,12,0.9217,0.2381,0,68.0
163,40,-5.975,95,0.9213,0.238,0,68.1
164,60,-2.55,33,0.9208,0.2379,0,65.3
165,30,-2.625,18,0.9203,0.2379,0,64.5
166,30,-1.9,3,0.9199,0.2378,0,64.5
167,140,-3.85,129,0.9194,0.2377,0,65.0
168,30,-2.15,8,0.919,0.2376,0,64.9
169,60,-2.1,30,0.9185,0.2376,0,64.9
170,70,-4.125,65,0.918,0.2375,0,65.3
171,130,-3.525,97,0.9176,0.2374,0,66.1
172,40,-7.05,116,0.9171,0.2374,0,65.9
173,30,-5.675,83,0.9167,0.2373,0,65.9
174,150,-3.05,126,0.9162,0.2372,0,67.1
175,30,-3.025,30,0.9157,0.2371,0,67.1
176,50,-5.75,105,0.9153,0.2371,0,67.3
177,30,-2.325,12,0.9148,0.237,0,67.2
178,60,-5.55,105,0.9144,0.2369,0,67.5
179,40,-3.1,31,0.9139,0.2369,0,67.3
180,50,-3.025,39,0.9135,0.2368,0,67.2
181,110,-8.925,211,0.913,0.2367,0,68.0
182,100,-3.825,61,0.9125,0.2366,0,68.7
183,30,-3.65,41,0.9121,0.2366,0,68.4
184,30,-3.025,35,0.9116,0.2365,0,68.1
185,60,-2.95,44,0.9112,0.2364,0,68.4
186,60,-9.1,170,0.9107,0.2364,0,68.6
187,40,-3.075,31,0.9103,0.2363,0,68.6
188,60,-3.0,38,0.9098,0.2362,0,68.8
189,190,-5.85,192,0.9094,0.2361,0,69.3
190,80,-10.6,199,0.9089,0.2361,0,69.8
191,60,-3.675,45,0.9084,0.236,0,68.7
192,50,-4.025,52,0.908,0.2359,0,68.8
193,70,-3.8,56,0.9075,0.2359,0,68.7
194,70,-6.025,101,0.9071,0.2358,0,69.0
195,40,-3.975,50,0.9066,0.2357,0,68.9
196,30,-3.125,31,0.9062,0.2357,0,68.8
197,60,-4.525,81,0.9057,0.2356,0,69.0
198,50,-5.675,86,0.9053,0.2355,0,68.5
199,60,-2.875,29,0.9048,0.2354,0,68.6
200,60,-6.15,108,0.9044,0.2354,0,68.9
201,80,-4.025,73,0.9039,0.2353,0,69.0
202,60,-5.8,90,0.9035,0.2352,0,69.1
203,30,-2.575,20,0.903,0.2352,0,69.0
204,110,-1.55,56,0.9026,0.2351,0,69.3
205,110,-2.5,32,0.9021,0.235,0,69.3
206,30,-2.6,18,0.9017,0.2349,0,68.6
207,120,-5.375,141,0.9012,0.2349,0,69.0
208,30,-2.075,9,0.9008,0.2348,0,68.8
209,110,-2.275,72,0.9003,0.2347,0,69.1
210,60,-3.725,49,0.8999,0.2347,0,68.2
211,60,-2.55,22,0.8994,0.2346,0,67.6
212,40,-2.2,11,0.899,0.2345,0,67.6
213,50,-5.95,107,0.8985,0.2345,0,67.7
214,40,-4.65,64,0.8981,0.2344,0,67.4
215,120,-2.3,76,0.8976,0.2343,0,67.1
216,60,-2.15,17,0.8972,0.2342,0,67.4
217,30,-1.95,4,0.8967,0.2342,0,67.1
