episode,score,ep_reward,steps,epsilon,alpha,won,avg_score_100
0,30,-4.8,113,0.9995,0.2499,0,30.0
1,30,-3.025,28,0.999,0.2499,0,30.0
2,30,-2.65,22,0.9985,0.2498,0,30.0
3,30,-2.0,7,0.998,0.2497,0,30.0
4,60,-9.625,207,0.9975,0.2496,0,36.0
5,40,-5.4,76,0.997,0.2496,0,36.667
6,50,-5.675,88,0.9965,0.2495,0,38.571
7,120,-1.225,109,0.996,0.2494,0,48.75
8,40,-2.65,21,0.9955,0.2493,0,47.778
9,30,-3.025,26,0.995,0.2493,0,46.0
10,70,-2.6,53,0.9945,0.2492,0,48.182
11,30,-2.25,10,0.994,0.2491,0,46.667
12,30,-3.3,39,0.9935,0.249,0,45.385
13,30,-2.175,9,0.993,0.249,0,44.286
14,60,-6.125,125,0.9925,0.2489,0,45.333
15,30,-2.85,23,0.992,0.2488,0,44.375
16,30,-5.425,85,0.9915,0.2487,0,43.529
17,60,-2.775,38,0.991,0.2487,0,44.444
18,30,-4.05,53,0.9905,0.2486,0,43.684
19,100,-1.425,47,0.99,0.2485,0,46.5
20,30,-2.35,13,0.9896,0.2484,0,45.714
21,40,-3.925,59,0.9891,0.2484,0,45.455
22,30,-3.025,27,0.9886,0.2483,0,44.783
23,30,-2.25,10,0.9881,0.2482,0,44.167
24,50,-1.875,21,0.9876,0.2481,0,44.4
25,60,-4.75,71,0.9871,0.2481,0,45.0
26,50,-3.425,38,0.9866,0.248,0,45.185
27,60,-3.55,52,0.9861,0.2479,0,45.714
28,30,-5.7,85,0.9856,0.2478,0,45.172
29,60,-2.65,39,0.9851,0.2478,0,45.667
30,30,-2.725,20,0.9846,0.2477,0,45.161
31,30,-2.05,6,0.9841,0.2476,0,44.688
32,30,-2.275,11,0.9836,0.2475,0,44.242
33,40,-2.625,31,0.9831,0.2475,0,44.118
34,50,-2.775,28,0.9826,0.2474,0,44.286
35,30,-3.175,33,0.9822,0.2473,0,43.889
36,50,-3.05,42,0.9817,0.2472,0,44.054
37,60,-3.7,48,0.9812,0.2472,0,44.474
38,30,-1.9,3,0.9807,0.2471,0,44.103
39,50,-3.625,54,0.9802,0.247,0,44.25
40,50,-2.575,22,0.9797,0.2469,0,44.39
41,60,-3.775,60,0.9792,0.2469,0,44.762
42,30,-2.25,10,0.9787,0.2468,0,44.419
43,30,-2.275,18,0.9782,0.2467,0,44.091
44,30,-4.3,54,0.9777,0.2466,0,43.778
45,60,-3.275,49,0.9773,0.2466,0,44.13
46,30,-2.55,17,0.9768,0.2465,0,43.83
47,30,-2.875,30,0.9763,0.2464,0,43.542
48,30,-3.6,39,0.9758,0.2464,0,43.265
49,60,-2.475,37,0.9753,0.2463,0,43.6
50,30,-2.625,18,0.9748,0.2462,0,43.333
51,30,-2.5,16,0.9743,0.2461,0,43.077
52,70,-7.575,159,0.9738,0.2461,0,43.585
53,90,-4.4,82,0.9734,0.246,0,44.444
54,30,-2.525,17,0.9729,0.2459,0,44.182
55,60,-6.3,125,0.9724,0.2458,0,44.464
56,70,-3.2,38,0.9719,0.2458,0,44.912
57,70,-4.875,84,0.9714,0.2457,0,45.345
58,50,-3.0,31,0.9709,0.2456,0,45.424
59,30,-4.05,49,0.9704,0.2455,0,45.167
60,30,-5.05,73,0.97,0.2455,0,44.918
61,50,-10.45,198,0.9695,0.2454,0,45.0
62,30,-3.175,30,0.969,0.2453,0,44.762
63,40,-4.025,62,0.9685,0.2452,0,44.688
64,30,-2.5,17,0.968,0.2452,0,44.462
65,30,-4.225,55,0.9675,0.2451,0,44.242
66,30,-5.25,76,0.967,0.245,0,44.03
67,30,-4.65,67,0.9666,0.245,0,43.824
68,60,-3.7,58,0.9661,0.2449,0,44.058
69,60,-5.175,79,0.9656,0.2448,0,44.286
70,60,-6.8,123,0.9651,0.2447,0,44.507
71,60,-3.9,56,0.9646,0.2447,0,44.722
72,30,-2.0,5,0.9641,0.2446,0,44.521
73,50,-1.55,10,0.9637,0.2445,0,44.595
74,70,-1.45,12,0.9632,0.2444,0,44.933
75,100,-4.95,102,0.9627,0.2444,0,45.658
76,50,-2.725,24,0.9622,0.2443,0,45.714
77,30,-2.575,18,0.9617,0.2442,0,45.513
78,70,-4.675,101,0.9613,0.2441,0,45.823
79,120,-4.425,119,0.9608,0.2441,0,46.75
80,30,-2.2,11,0.9603,0.244,0,46.543
81,40,-3.0,37,0.9598,0.2439,0,46.463
82,60,-2.825,38,0.9593,0.2439,0,46.627
83,30,-2.25,12,0.9589,0.2438,0,46.429
84,30,-4.15,52,0.9584,0.2437,0,46.235
85,30,-2.45,14,0.9579,0.2436,0,46.047
86,30,-2.7,20,0.9574,0.2436,0,45.862
87,30,-2.725,26,0.9569,0.2435,0,45.682
88,30,-2.075,7,0.9565,0.2434,0,45.506
89,60,-2.85,46,0.956,0.2433,0,45.667
90,70,-3.25,53,0.9555,0.2433,0,45.934
91,30,-5.3,74,0.955,0.2432,0,45.761
92,50,-1.85,11,0.9546,0.2431,0,45.806
93,70,-3.375,61,0.9541,0.243,0,46.064
94,50,-4.15,56,0.9536,0.243,0,46.105
95,30,-3.45,37,0.9531,0.2429,0,45.938
96,30,-4.9,67,0.9526,0.2428,0,45.773
97,30,-3.875,53,0.9522,0.2428,0,45.612
98,40,-2.0,11,0.9517,0.2427,0,45.556
99,30,-2.675,20,0.9512,0.2426,0,45.4
100,60,-2.475,43,0.9507,0.2425,0,45.7
101,50,-2.975,31,0.9503,0.2425,0,45.9
102,30,-1.95,4,0.9498,0.2424,0,45.9
103,30,-3.9,48,0.9493,0.2423,0,45.9
104,60,-9.775,195,0.9488,0.2422,0,45.9
105,30,-2.475,15,0.9484,0.2422,0,45.8
106,70,-1.6,31,0.9479,0.2421,0,46.0
107,60,-5.6,89,0.9474,0.242,0,45.4
108,50,-3.75,46,0.9469,0.242,0,45.5
109,50,-4.825,75,0.9465,0.2419,0,45.7
110,30,-2.675,19,0.946,0.2418,0,45.3
111,30,-2.2,17,0.9455,0.2417,0,45.3
112,60,-2.875,47,0.9451,0.2417,0,45.6
113,40,-2.975,26,0.9446,0.2416,0,45.7
114,30,-3.025,27,0.9441,0.2415,0,45.4
115,30,-3.25,32,0.9436,0.2414,0,45.4
116,30,-3.175,37,0.9432,0.2414,0,45.4
117,40,-2.875,34,0.9427,0.2413,0,45.2
118,50,-2.875,27,0.9422,0.2412,0,45.4
119,30,-2.425,14,0.9418,0.2412,0,44.7
120,30,-2.7,28,0.9413,0.2411,0,44.7
121,60,-2.825,40,0.9408,0.241,0,44.9
122,60,-4.575,75,0.9403,0.2409,0,45.2
123,50,-3.5,40,0.9399,0.2409,0,45.4
124,30,-3.225,31,0.9394,0.2408,0,45.2
125,30,-2.775,22,0.9389,0.2407,0,44.9
126,40,-3.15,44,0.9385,0.2407,0,44.8
127,50,-3.025,31,0.938,0.2406,0,44.7
128,130,-2.8,106,0.9375,0.2405,0,45.7
129,60,-3.125,36,0.9371,0.2404,0,45.7
130,50,-3.4,42,0.9366,0.2404,0,45.9
131,60,-2.4,26,0.9361,0.2403,0,46.2
132,50,-4.925,72,0.9356,0.2402,0,46.4
133,50,-4.05,55,0.9352,0.2401,0,46.5
134,30,-2.325,12,0.9347,0.2401,0,46.3
135,100,-1.65,50,0.9342,0.24,0,47.0
136,50,-2.575,21,0.9338,0.2399,0,47.0
137,60,-2.875,36,0.9333,0.2399,0,47.0
138,60,-3.75,49,0.9328,0.2398,0,47.3
139,30,-2.2,9,0.9324,0.2397,0,47.1
140,30,-1.95,11,0.9319,0.2396,0,46.9
141,70,-3.0,54,0.9314,0.2396,0,47.0
142,30,-2.55,16,0.931,0.2395,0,47.0
143,30,-2.6,25,0.9305,0.2394,0,47.0
144,30,-2.575,21,0.93,0.2394,0,47.0
145,30,-3.475,36,0.9296,0.2393,0,46.7
146,60,-6.3,124,0.9291,0.2392,0,47.0
147,50,-3.3,39,0.9287,0.2391,0,47.2
148,30,-2.65,20,0.9282,0.2391,0,47.2
149,120,-1.0,44,0.9277,0.239,0,47.8
150,50,-6.775,115,0.9273,0.2389,0,48.0
151,50,-3.4,39,0.9268,0.2389,0,48.2
152,30,-2.575,17,0.9263,0.2388,0,47.8
153,50,-2.325,32,0.9259,0.2387,0,47.4
154,40,-2.75,21,0.9254,0.2386,0,47.5
155,40,-5.775,89,0.9249,0.2386,0,47.3
156,60,-2.025,17,0.9245,0.2385,0,47.2
157,110,-1.875,46,0.924,0.2384,0,47.6
158,40,-3.325,35,0.9236,0.2384,0,47.5
159,30,-2.775,23,0.9231,0.2383,0,47.5
160,110,-4.775,130,0.9226,0.2382,0,48.3
161,60,-3.875,52,0.9222,0.2381,0,48.4
162,30,-2.6,18,0.9217,0.2381,0,48.4
163,30,-4.575,67,0.9213,0.238,0,48.3
164,60,-2.275,34,0.9208,0.2379,0,48.6
165,50,-4.075,56,0.9203,0.2379,0,48.8
166,60,-8.05,144,0.9199,0.2378,0,49.1
167,40,-4.25,58,0.9194,0.2377,0,49.2
168,40,-2.7,22,0.919,0.2376,0,49.0
169,30,-4.7,64,0.9185,0.2376,0,48.7
170,60,-2.125,25,0.918,0.2375,0,48.7
171,80,-7.675,159,0.9176,0.2374,0,48.9
172,30,-2.575,17,0.9171,0.2374,0,48.9
173,60,-1.825,18,0.9167,0.2373,0,49.0
174,80,-3.1,51,0.9162,0.2372,0,49.1
175,30,-2.0,5,0.9157,0.2371,0,48.4
176,60,-4.325,84,0.9153,0.2371,0,48.5
177,30,-2.975,25,0.9148,0.237,0,48.5
178,80,-5.175,118,0.9144,0.2369,0,48.6
179,60,-6.1,101,0.9139,0.2369,0,48.0
180,40,-2.975,29,0.9135,0.2368,0,48.1
181,50,-6.625,111,0.913,0.2367,0,48.2
182,50,-4.275,58,0.9125,0.2366,0,48.1
