episode,score,ep_reward,steps,epsilon,alpha,won,avg_score_100
0,30,0.525,12,0.9995,0.2499,0,30.0
1,30,-4.975,69,0.999,0.2499,0,30.0
2,30,-3.65,40,0.9985,0.2498,0,30.0
3,30,-2.2,9,0.998,0.2497,0,30.0
4,70,0.125,21,0.9975,0.2496,0,38.0
5,30,-6.35,99,0.997,0.2496,0,36.667
6,50,-2.3,22,0.9965,0.2495,0,38.571
7,60,-1.7,17,0.996,0.2494,0,41.25
8,30,-3.825,47,0.9955,0.2493,0,40.0
9,50,-6.425,117,0.995,0.2493,0,41.0
10,40,-4.25,57,0.9945,0.2492,0,40.909
11,30,-3.1,31,0.994,0.2491,0,40.0
12,60,-3.25,53,0.9935,0.249,0,41.538
13,60,-5.6,93,0.993,0.249,0,42.857
14,40,-2.425,16,0.9925,0.2489,0,42.667
15,50,-4.45,63,0.992,0.2488,0,43.125
16,30,-3.25,32,0.9915,0.2487,0,42.353
17,30,-3.025,33,0.991,0.2487,0,41.667
18,30,-2.3,13,0.9905,0.2486,0,41.053
19,30,-2.175,9,0.99,0.2485,0,40.5
20,60,-3.825,73,0.9896,0.2484,0,41.429
21,30,-2.6,19,0.9891,0.2484,0,40.909
22,80,-1.6,58,0.9886,0.2483,0,42.609
23,30,-3.8,43,0.9881,0.2482,0,42.083
24,40,-5.65,96,0.9876,0.2481,0,42.0
25,30,-3.05,29,0.9871,0.2481,0,41.538
26,30,-4.075,47,0.9866,0.248,0,41.111
27,70,-2.15,45,0.9861,0.2479,0,42.143
28,60,-4.25,58,0.9856,0.2478,0,42.759
29,30,-2.5,16,0.9851,0.2478,0,42.333
30,50,-10.0,191,0.9846,0.2477,0,42.581
31,40,-4.3,58,0.9841,0.2476,0,42.5
32,40,-3.125,30,0.9836,0.2475,0,42.424
33,30,-2.75,22,0.9831,0.2475,0,42.059
34,30,-5.5,90,0.9826,0.2474,0,41.714
35,60,-2.15,32,0.9822,0.2473,0,42.222
36,30,-2.25,11,0.9817,0.2472,0,41.892
37,30,-2.175,9,0.9812,0.2472,0,41.579
38,50,-1.575,18,0.9807,0.2471,0,41.795
39,40,-4.25,56,0.9802,0.247,0,41.75
40,30,-5.5,83,0.9797,0.2469,0,41.463
41,30,-2.175,9,0.9792,0.2469,0,41.19
42,30,-2.0,12,0.9787,0.2468,0,40.93
43,60,-12.75,256,0.9782,0.2467,0,41.364
44,30,-2.0,5,0.9777,0.2466,0,41.111
45,40,-3.15,42,0.9773,0.2466,0,41.087
46,70,-2.175,29,0.9768,0.2465,0,41.702
47,60,-6.75,112,0.9763,0.2464,0,42.083
48,50,-4.575,67,0.9758,0.2464,0,42.245
49,30,-2.275,11,0.9753,0.2463,0,42.0
50,30,-4.675,62,0.9748,0.2462,0,41.765
51,50,-2.925,45,0.9743,0.2461,0,41.923
52,30,-2.45,14,0.9738,0.2461,0,41.698
53,60,-2.75,49,0.9734,0.246,0,42.037
