episode,total_reward,steps,epsilon,won,progress_cells
0,-40.47,8,0.398,0,3
1,-26.42,23,0.396,0,5
2,11.55,66,0.394,0,13
3,-20.11,12,0.3921,0,7
4,-17.58,39,0.3901,0,8
5,-30.3,11,0.3881,0,5
6,-35.72,13,0.3862,0,3
7,2.38,102,0.3843,0,4
8,0.09,91,0.3824,0,3
9,-36.2,21,0.3804,0,3
10,-27.36,37,0.3785,0,5
11,-32.97,38,0.3766,0,4
12,-35.47,8,0.3748,0,3
13,-41.62,23,0.3729,0,3
14,-36.19,20,0.371,0,3
15,-40.05,6,0.3692,0,3
16,-6.67,87,0.3673,0,2
17,-1.77,117,0.3655,0,3
18,-32.38,39,0.3637,0,4
19,-40.04,5,0.3618,0,3
20,-30.76,17,0.36,0,4
21,-22.75,36,0.3582,0,6
22,-9.11,72,0.3564,0,9
23,-16.01,22,0.3547,0,7
24,-30.77,18,0.3529,0,5
25,-27.11,32,0.3511,0,6
26,-39.29,50,0.3494,0,3
27,-21.33,34,0.3476,0,7
28,-40.02,3,0.3459,0,3
29,-20.51,12,0.3442,0,7
30,-31.0,21,0.3424,0,5
31,-36.62,23,0.3407,0,3
32,-5.65,85,0.339,0,2
33,5.36,104,0.3373,0,4
34,-20.25,86,0.3356,0,8
35,-40.69,10,0.334,0,3
36,-40.26,7,0.3323,0,3
37,-31.4,21,0.3306,0,4
38,-11.45,26,0.329,0,8
39,-25.07,8,0.3273,0,6
40,-40.46,7,0.3257,0,3
41,-20.55,16,0.3241,0,6
42,-2.56,96,0.3224,0,3
43,-30.06,7,0.3208,0,5
44,-27.08,29,0.3192,0,6
45,-25.54,15,0.3176,0,6
46,-40.49,10,0.316,0,3
47,-30.77,18,0.3145,0,4
48,-28.08,89,0.3129,0,6
49,-31.75,56,0.3113,0,5
50,-30.8,21,0.3098,0,4
51,-30.47,68,0.3082,0,5
52,-20.15,16,0.3067,0,6
53,-30.06,7,0.3051,0,5
54,-20.54,15,0.3036,0,7
55,-35.5,11,0.3021,0,3
56,-29.99,120,0.3006,0,5
57,-30.55,16,0.2991,0,4
58,-35.04,5,0.2976,0,3
59,-35.05,6,0.2961,0,3
60,-40.24,5,0.2946,0,3
61,-40.03,4,0.2932,0,3
62,5.64,176,0.2917,0,6
63,-30.05,6,0.2902,0,5
64,-20.78,19,0.2888,0,6
65,-26.23,24,0.2873,0,5
66,-33.35,76,0.2859,0,5
67,-26.93,34,0.2845,0,6
68,-28.18,39,0.283,0,5
69,-20.99,20,0.2816,0,6
70,-35.05,6,0.2802,0,3
71,-35.04,5,0.2788,0,3
72,-13.68,49,0.2774,0,8
73,-22.31,32,0.276,0,7
74,-1.39,139,0.2747,0,4
75,-31.65,86,0.2733,0,5
76,-40.25,6,0.2719,0,3
77,-24.45,86,0.2706,0,7
78,-40.67,8,0.2692,0,3
79,-21.5,31,0.2679,0,6
80,-32.58,39,0.2665,0,4
81,-25.06,7,0.2652,0,5
82,-33.18,39,0.2639,0,4
83,-40.24,5,0.2625,0,3
84,-23.61,62,0.2612,0,6
85,-33.49,50,0.2599,0,5
86,-36.64,25,0.2586,0,3
87,-6.23,83,0.2573,0,2
88,-26.64,25,0.256,0,5
89,-31.62,23,0.2548,0,4
90,-2.27,147,0.2535,0,4
91,-25.08,9,0.2522,0,5
92,-40.23,4,0.251,0,3
93,-21.21,22,0.2497,0,7
94,-33.5,111,0.2485,0,6
95,-33.72,53,0.2472,0,5
96,17.84,116,0.246,0,7
97,-20.79,20,0.2447,0,6
98,-31.13,54,0.2435,0,5
99,-16.53,34,0.2423,0,7
100,-30.94,15,0.2411,0,5
101,-27.28,69,0.2399,0,5
102,-25.3,11,0.2387,0,5
103,-8.18,59,0.2375,0,9
104,-18.98,59,0.2363,0,7
105,-30.5,11,0.2351,0,5
106,-31.32,33,0.234,0,4
107,-29.64,65,0.2328,0,5
108,-35.04,5,0.2316,0,3
109,-26.55,36,0.2305,0,5
110,-30.99,20,0.2293,0,5
111,-25.98,19,0.2282,0,5
112,-41.69,70,0.227,0,3
113,6.59,101,0.2259,0,5
114,-5.25,165,0.2248,0,4
115,-4.5,130,0.2236,0,3
116,-35.04,5,0.2225,0,3
117,-42.69,90,0.2214,0,3
118,-31.09,50,0.2203,0,5
119,9.48,132,0.2192,0,6
120,-23.82,63,0.2181,0,6
121,-34.13,54,0.217,0,4
122,-35.14,75,0.2159,0,4
123,-33.22,43,0.2148,0,4
124,-40.46,7,0.2138,0,3
