episode,total_reward,epsilon
0,-93.1,0.0995
1,-98.04,0.099
2,-94.42,0.0985
3,-96.87,0.098
4,-99.43,0.0975
5,-106.02,0.097
6,-113.36,0.0966
7,-118.72,0.0961
8,-99.85,0.0956
9,-104.59,0.0951
10,-105.01,0.0946
11,-97.15,0.0942
12,-109.06,0.0937
13,-99.06,0.0932
14,-98.1,0.0928
15,-108.93,0.0923
16,-110.14,0.0918
17,-666.98,0.0914
18,-113.21,0.0909
19,-101.82,0.0905
20,-107.99,0.09
21,-98.73,0.0896
22,-117.51,0.0891
23,-99.23,0.0887
24,-107.74,0.0882
25,-612.67,0.0878
26,-124.38,0.0873
27,-136.03,0.0869
28,-111.14,0.0865
29,-104.0,0.086
30,-132.35,0.0856
31,-127.56,0.0852
32,-98.29,0.0848
33,-107.69,0.0843
34,-106.89,0.0839
35,-104.16,0.0835
36,-106.67,0.0831
37,-122.3,0.0827
38,-100.33,0.0822
39,-140.84,0.0818
40,-699.6,0.0814
41,-118.41,0.081
42,-608.28,0.0806
43,-125.71,0.0802
44,-103.0,0.0798
45,-293.56,0.0794
46,-1927.91,0.079
47,-289.66,0.0786
48,-124.69,0.0782
49,-300.4,0.0778
50,-136.68,0.0774
51,-130.18,0.0771
52,-125.98,0.0767
53,-385.01,0.0763
54,-135.37,0.0759
55,-133.63,0.0755
56,-110.65,0.0751
57,-128.87,0.0748
58,-105.98,0.0744
59,-1133.94,0.074
60,-103.23,0.0737
61,-110.3,0.0733
62,-435.34,0.0729
63,-155.02,0.0726
64,-482.63,0.0722
65,-125.28,0.0718
66,-157.6,0.0715
67,-114.28,0.0711
68,-130.38,0.0708
69,-115.87,0.0704
70,-118.35,0.0701
71,-892.66,0.0697
72,-768.62,0.0694
73,-634.08,0.069
74,-1247.86,0.0687
75,-105.47,0.0683
76,-126.87,0.068
77,-133.28,0.0676
78,-175.88,0.0673
79,-122.6,0.067
80,-122.74,0.0666
81,-102.97,0.0663
82,-1692.18,0.066
83,-123.58,0.0656
84,-104.39,0.0653
85,-99.47,0.065
86,-102.54,0.0647
87,-98.63,0.0643
88,-103.9,0.064
89,-105.55,0.0637
90,-101.21,0.0634
91,-101.67,0.0631
92,-99.11,0.0627
93,-99.93,0.0624
94,-748.92,0.0621
95,-95.7,0.0618
96,-95.43,0.0615
97,-103.29,0.0612
98,-100.09,0.0609
99,-104.37,0.0606
100,-104.17,0.0603
101,-1902.18,0.06
102,-901.3,0.0597
103,-463.41,0.0594
104,-98.26,0.0591
105,-99.32,0.0588
106,-101.03,0.0585
107,-149.05,0.0582
108,-103.61,0.0579
109,-4866.89,0.0576
110,-3254.1,0.0573
111,-112.69,0.057
112,-124.31,0.0568
113,-103.85,0.0565
114,-121.48,0.0562
115,-116.76,0.0559
116,-111.77,0.0556
117,-466.11,0.0554
118,-2286.59,0.0551
119,-1490.64,0.0548
120,-101.13,0.0545
121,-125.13,0.0543
122,-131.27,0.054
123,-615.52,0.0537
124,-168.47,0.0534
125,-129.84,0.0532
126,-100.05,0.0529
127,-146.77,0.0526
128,-128.23,0.0524
129,-1543.88,0.0521
130,-98.1,0.0519
131,-2351.95,0.0516
132,-106.68,0.0513
133,-112.62,0.0511
134,-104.3,0.0508
135,-116.43,0.0506
136,-941.76,0.0503
137,-135.54,0.0501
138,-127.5,0.0498
139,-5046.29,0.0496
140,-123.13,0.0493
141,-134.54,0.0491
142,-3969.61,0.0488
143,-1998.69,0.0486
144,-137.81,0.0483
145,-353.73,0.0481
146,-990.38,0.0479
147,-589.03,0.0476
